cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
05,ANTIOQUIA,05001,MEDELLÍN,Municipio,,,ANTIOQUIA|MEDELLIN
05,ANTIOQUIA,05002,ABEJORRAL,Municipio,,,ANTIOQUIA|ABEJORRAL
05,ANTIOQUIA,05004,ABRIAQUÍ,Municipio,,,ANTIOQUIA|ABRIAQUI
05,ANTIOQUIA,05021,ALEJANDRÍA,Municipio,,,ANTIOQUIA|ALEJANDRIA
05,ANTIOQUIA,05030,AMAGÁ,Municipio,,,ANTIOQUIA|AMAGA
05,ANTIOQUIA,05031,AMALFI,Municipio,,,ANTIOQUIA|AMALFI
05,ANTIOQUIA,05034,ANDES,Municipio,,,ANTIOQUIA|ANDES
05,ANTIOQUIA,05036,ANGELÓPOLIS,Municipio,,,ANTIOQUIA|ANGELOPOLIS
05,ANTIOQUIA,05038,ANGOSTURA,Municipio,,,ANTIOQUIA|ANGOSTURA
05,ANTIOQUIA,05040,ANORÍ,Municipio,,,ANTIOQUIA|ANORI
05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,Municipio,,,ANTIOQUIA|SANTA FE DE ANTIOQUIA
05,ANTIOQUIA,05044,ANZÁ,Municipio,,,ANTIOQUIA|ANZA
05,ANTIOQUIA,05045,APARTADÓ,Municipio,,,ANTIOQUIA|APARTADO
05,ANTIOQUIA,05051,ARBOLETES,Municipio,,,ANTIOQUIA|ARBOLETES
05,ANTIOQUIA,05055,ARGELIA,Municipio,,,ANTIOQUIA|ARGELIA
05,ANTIOQUIA,05059,ARMENIA,Municipio,,,ANTIOQUIA|ARMENIA
05,ANTIOQUIA,05079,BARBOSA,Municipio,,,ANTIOQUIA|BARBOSA
05,ANTIOQUIA,05086,BELMIRA,Municipio,,,ANTIOQUIA|BELMIRA
05,ANTIOQUIA,05088,BELLO,Municipio,,,ANTIOQUIA|BELLO
05,ANTIOQUIA,05091,BETANIA,Municipio,,,ANTIOQUIA|BETANIA
05,ANTIOQUIA,05093,BETULIA,Municipio,,,ANTIOQUIA|BETULIA
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,Municipio,,,ANTIOQUIA|CIUDAD BOLIVAR
05,ANTIOQUIA,05107,BRICEÑO,Municipio,,,ANTIOQUIA|BRICENO
05,ANTIOQUIA,05113,BURITICÁ,Municipio,,,ANTIOQUIA|BURITICA
05,ANTIOQUIA,05120,CÁCERES,Municipio,,,ANTIOQUIA|CACERES
05,ANTIOQUIA,05125,CAICEDO,Municipio,,,ANTIOQUIA|CAICEDO
05,ANTIOQUIA,05129,CALDAS,Municipio,,,ANTIOQUIA|CALDAS
05,ANTIOQUIA,05134,CAMPAMENTO,Municipio,,,ANTIOQUIA|CAMPAMENTO
05,ANTIOQUIA,05138,CAÑASGORDAS,Municipio,,,ANTIOQUIA|CANASGORDAS
05,ANTIOQUIA,05142,CARACOLÍ,Municipio,,,ANTIOQUIA|CARACOLI
05,ANTIOQUIA,05145,CARAMANTA,Municipio,,,ANTIOQUIA|CARAMANTA
05,ANTIOQUIA,05147,CAREPA,Municipio,,,ANTIOQUIA|CAREPA
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,Municipio,,,ANTIOQUIA|EL CARMEN DE VIBORAL
05,ANTIOQUIA,05150,CAROLINA,Municipio,,,ANTIOQUIA|CAROLINA
05,ANTIOQUIA,05154,CAUCASIA,Municipio,,,ANTIOQUIA|CAUCASIA
05,ANTIOQUIA,05172,CHIGORODÓ,Municipio,,,ANTIOQUIA|CHIGORODO
05,ANTIOQUIA,05190,CISNEROS,Municipio,,,ANTIOQUIA|CISNEROS
05,ANTIOQUIA,05197,COCORNÁ,Municipio,,,ANTIOQUIA|COCORNA
05,ANTIOQUIA,05206,CONCEPCIÓN,Municipio,,,ANTIOQUIA|CONCEPCION
05,ANTIOQUIA,05209,CONCORDIA,Municipio,,,ANTIOQUIA|CONCORDIA
05,ANTIOQUIA,05212,COPACABANA,Municipio,,,ANTIOQUIA|COPACABANA
05,ANTIOQUIA,05234,DABEIBA,Municipio,,,ANTIOQUIA|DABEIBA
05,ANTIOQUIA,05237,DONMATÍAS,Municipio,,,ANTIOQUIA|DONMATIAS
05,ANTIOQUIA,05240,EBÉJICO,Municipio,,,ANTIOQUIA|EBEJICO
05,ANTIOQUIA,05250,EL BAGRE,Municipio,,,ANTIOQUIA|EL BAGRE
