cod_mpio,cod_dpto,nom_mpio,n_resguardos,pob_resguardos,n_comunidades
05001,05,MEDELLÍN,0,0,0
05002,05,ABEJORRAL,0,0,0
05004,05,ABRIAQUÍ,0,0,0
05021,05,ALEJANDRÍA,0,0,0
05030,05,AMAGÁ,0,0,0
05031,05,AMALFI,0,0,0
05034,05,ANDES,1,214,0
05036,05,ANGELÓPOLIS,0,0,0
05038,05,ANGOSTURA,0,0,0
05040,05,ANORÍ,0,0,0
05042,05,SANTA FÉ DE ANTIOQUIA,0,0,0
05044,05,ANZÁ,0,0,0
05045,05,APARTADÓ,2,310,0
05051,05,ARBOLETES,1,134,0
05055,05,ARGELIA,0,0,0
05059,05,ARMENIA,0,0,0
05079,05,BARBOSA,0,0,0
05086,05,BELMIRA,0,0,0
05088,05,BELLO,0,0,0
05091,05,BETANIA,0,0,0
05093,05,BETULIA,0,0,0
05101,05,CIUDAD BOLÍVAR,1,266,1
05107,05,BRICEÑO,0,0,0
05113,05,BURITICÁ,0,0,0
05120,05,CÁCERES,4,854,0
05125,05,CAICEDO,0,0,0
05129,05,CALDAS,0,0,0
05134,05,CAMPAMENTO,0,0,0
05138,05,CAÑASGORDAS,0,0,0
05142,05,CARACOLÍ,0,0,0
05145,05,CARAMANTA,0,0,0
05147,05,CAREPA,0,0,0
05148,05,EL CARMEN DE VIBORAL,0,0,0
05150,05,CAROLINA,0,0,0
05154,05,CAUCASIA,0,0,0
05172,05,CHIGORODÓ,2,2028,2
05190,05,CISNEROS,0,0,0
05197,05,COCORNÁ,0,0,0
05206,05,CONCEPCIÓN,0,0,0
05209,05,CONCORDIA,0,0,0
05212,05,COPACABANA,0,0,0
05234,05,DABEIBA,11,4341,2
05237,05,DONMATÍAS,0,0,0
05240,05,EBÉJICO,0,0,0
05250,05,EL BAGRE,4,548,1
05264,05,ENTRERRÍOS,0,0,0
05266,05,ENVIGADO,0,0,0
05282,05,FREDONIA,0,0,0
05284,05,FRONTINO,5,2470,2
05306,05,GIRALDO,0,0,0
05308,05,GIRARDOTA,0,0,0
05310,05,GÓMEZ PLATA,0,0,0
05313,05,GRANADA,0,0,0
05315,05,GUADALUPE,0,0,0
05318,05,GUARNE,0,0,0
05321,05,GUATAPÉ,0,0,0
05347,05,HELICONIA,0,0,0
05353,05,HISPANIA,0,0,0
05360,05,ITAGÜÍ,0,0,0
05361,05,ITUANGO,1,396,0
05364,05,JARDÍN,1,1485,0
05368,05,JERICÓ,0,0,0
05376,05,LA CEJA,0,0,0
05380,05,LA ESTRELLA,0,0,0
05390,05,LA PINTADA,0,0,0
05400,05,LA UNIÓN,0,0,0
05411,05,LIBORINA,0,0,0
05425,05,MACEO,0,0,0
05440,05,MARINILLA,0,0,0
05467,05,MONTEBELLO,0,0,0
05475,05,MURINDÓ,2,1879,0
05480,05,MUTATÁ,3,1582,1
05483,05,NARIÑO,0,0,0
05490,05,NECOCLÍ,2,880,3
05495,05,NECHÍ,0,0,0
05501,05,OLAYA,0,0,0
05541,05,PEÑOL,0,0,0
05543,05,PEQUE,0,0,0
05576,05,PUEBLORRICO,1,147,0
05579,05,PUERTO BERRÍO,0,0,1
05585,05,PUERTO NARE,0,0,0
05591,05,PUERTO TRIUNFO,0,0,0
05604,05,REMEDIOS,0,0,1
05607,05,RETIRO,0,0,0
05615,05,RIONEGRO,0,0,0
05628,05,SABANALARGA,0,0,0
05631,05,SABANETA,0,0,0
05642,05,SALGAR,0,0,0
05647,05,SAN ANDRÉS DE CUERQUÍA,0,0,0
05649,05,SAN CARLOS,0,0,0
05652,05,SAN FRANCISCO,0,0,0
05656,05,SAN JERÓNIMO,0,0,0
05658,05,SAN JOSÉ DE LA MONTAÑA,0,0,0
05659,05,SAN JUAN DE URABÁ,1,169,1
05660,05,SAN LUIS,0,0,0
05664,05,SAN PEDRO DE LOS MILAGROS,0,0,0
05665,05,SAN PEDRO DE URABÁ,0,0,2
05667,05,SAN RAFAEL,0,0,0
05670,05,SAN ROQUE,0,0,0
05674,05,SAN VICENTE FERRER,0,0,0
05679,05,SANTA BÁRBARA,0,0,0
05686,05,SANTA ROSA DE OSOS,0,0,0
05690,05,SANTO DOMINGO,0,0,0
05697,05,EL SANTUARIO,0,0,0
05736,05,SEGOVIA,1,368,0
05756,05,SONSÓN,0,0,0
05761,05,SOPETRÁN,0,0,0
05789,05,TÁMESIS,1,152,0
05790,05,TARAZÁ,1,9,0
05792,05,TARSO,0,0,0
05809,05,TITIRIBÍ,0,0,0
05819,05,TOLEDO,0,0,0
