cod_mpio,cod_dpto,nom_mpio,poblacion,afiliados_total,af_subsidiado,af_contributivo,pct_rural_afiliados,fuente
05001,05,MEDELLÍN,2886117,2886117,852087.0,2034030.0,3.76,bdua
05002,05,ABEJORRAL,14928,14928,11876.0,3052.0,60.618,bdua
05004,05,ABRIAQUÍ,1684,1684,1353.0,331.0,63.064,bdua
05021,05,ALEJANDRÍA,3334,3334,2785.0,549.0,50.48,bdua
05030,05,AMAGÁ,26957,26957,11316.0,15641.0,27.919,bdua
05031,05,AMALFI,21344,21344,18312.0,3032.0,54.985,bdua
05034,05,ANDES,39449,39449,27417.0,12032.0,39.524,bdua
05036,05,ANGELÓPOLIS,3369,3369,2236.0,1133.0,41.615,bdua
05038,05,ANGOSTURA,9580,9580,8496.0,1084.0,80.438,bdua
05040,05,ANORÍ,17091,17091,15674.0,1417.0,67.819,bdua
05042,05,SANTA FÉ DE ANTIOQUIA,0,0,,,,bdua
05044,05,ANZÁ,6835,6835,5723.0,1112.0,70.827,bdua
05045,05,APARTADÓ,150785,150785,71301.0,79484.0,14.655,bdua
05051,05,ARBOLETES,28400,28400,24389.0,4011.0,47.472,bdua
05055,05,ARGELIA,6535,6535,5946.0,589.0,57.567,bdua
05059,05,ARMENIA,3100,3100,2440.0,660.0,57.613,bdua
05079,05,BARBOSA,48079,48079,22581.0,25498.0,25.464,bdua
05086,05,BELMIRA,3919,3919,2693.0,1226.0,56.673,bdua
05088,05,BELLO,520749,520749,162863.0,357886.0,3.731,bdua
05091,05,BETANIA,7221,7221,6171.0,1050.0,51.143,bdua
05093,05,BETULIA,14829,14829,13726.0,1103.0,66.451,bdua
05101,05,CIUDAD BOLÍVAR,0,0,,,,bdua
05107,05,BRICEÑO,5860,5860,5283.0,577.0,67.235,bdua
05113,05,BURITICÁ,8301,8301,6486.0,1815.0,60.92,bdua
05120,05,CÁCERES,24595,24595,23244.0,1351.0,49.632,bdua
05125,05,CAICEDO,7437,7437,6905.0,532.0,77.262,bdua
05129,05,CALDAS,97227,97227,23135.0,74092.0,6.262,bdua
05134,05,CAMPAMENTO,6761,6761,6256.0,505.0,68.274,bdua
05138,05,CAÑASGORDAS,13506,13506,11470.0,2036.0,59.766,bdua
05142,05,CARACOLÍ,3734,3734,2979.0,755.0,41.725,bdua
05145,05,CARAMANTA,4008,4008,3321.0,687.0,42.914,bdua
05147,05,CAREPA,59965,59965,33812.0,26153.0,21.859,bdua
05148,05,EL CARMEN DE VIBORAL,0,0,,,,bdua
05150,05,CAROLINA,2682,2682,1663.0,1019.0,27.666,bdua
05154,05,CAUCASIA,102300,102300,82768.0,19532.0,26.646,bdua
05172,05,CHIGORODÓ,75549,75549,44661.0,30888.0,24.338,bdua
05190,05,CISNEROS,9764,9764,6725.0,3039.0,24.734,bdua
05197,05,COCORNÁ,14606,14606,11939.0,2667.0,55.251,bdua
05206,05,CONCEPCIÓN,3597,3597,2680.0,917.0,55.24,bdua
05209,05,CONCORDIA,15175,15175,12213.0,2962.0,53.674,bdua
05212,05,COPACABANA,71701,71701,21763.0,49938.0,7.727,bdua
05234,05,DABEIBA,24015,24015,21771.0,2244.0,69.565,bdua
05237,05,DONMATÍAS,0,0,,,,bdua
05240,05,EBÉJICO,8105,8105,6489.0,1616.0,71.289,bdua
05250,05,EL BAGRE,58004,58004,49496.0,8508.0,35.07,bdua
05264,05,ENTRERRÍOS,9212,9212,3210.0,6002.0,34.043,bdua
05266,05,ENVIGADO,218019,218019,31790.0,186229.0,1.594,bdua
05282,05,FREDONIA,13341,13341,7974.0,5367.0,48.932,bdua
05284,05,FRONTINO,21431,21431,18762.0,2669.0,65.755,bdua
05306,05,GIRALDO,5164,5164,4264.0,900.0,56.933,bdua
05308,05,GIRARDOTA,55708,55708,17569.0,38139.0,14.563,bdua
05310,05,GÓMEZ PLATA,6643,6643,4795.0,1848.0,42.737,bdua
05313,05,GRANADA,8505,8505,6577.0,1928.0,44.327,bdua
