cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05001,05,MEDELLÍN,2017,2427133.0,1.843,dane
05001,05,MEDELLÍN,2018,2427133.0,1.843,dane
05001,05,MEDELLÍN,2019,2455336.0,1.885,dane
05001,05,MEDELLÍN,2020,2489955.0,1.931,dane
05001,05,MEDELLÍN,2021,2507620.0,1.929,dane
05002,05,ABEJORRAL,2017,20368.0,62.348,dane
05002,05,ABEJORRAL,2018,20368.0,62.348,dane
05002,05,ABEJORRAL,2019,20612.0,61.93,dane
05002,05,ABEJORRAL,2020,20878.0,61.519,dane
05002,05,ABEJORRAL,2021,20962.0,61.101,dane
05004,05,ABRIAQUÍ,2017,2718.0,69.316,dane
05004,05,ABRIAQUÍ,2018,2718.0,69.316,dane
05004,05,ABRIAQUÍ,2019,2745.0,68.816,dane
05004,05,ABRIAQUÍ,2020,2783.0,68.918,dane
05004,05,ABRIAQUÍ,2021,2797.0,68.824,dane
05021,05,ALEJANDRÍA,2017,4642.0,46.575,dane
05021,05,ALEJANDRÍA,2018,4642.0,46.575,dane
05021,05,ALEJANDRÍA,2019,4759.0,45.871,dane
05021,05,ALEJANDRÍA,2020,4872.0,45.484,dane
05021,05,ALEJANDRÍA,2021,4962.0,44.8,dane
05030,05,AMAGÁ,2017,30230.0,53.086,dane
05030,05,AMAGÁ,2018,30230.0,53.086,dane
05030,05,AMAGÁ,2019,30729.0,52.677,dane
05030,05,AMAGÁ,2020,31279.0,52.271,dane
05030,05,AMAGÁ,2021,31668.0,51.879,dane
05031,05,AMALFI,2017,25935.0,44.13,dane
05031,05,AMALFI,2018,25935.0,44.13,dane
05031,05,AMALFI,2019,26501.0,43.772,dane
05031,05,AMALFI,2020,27066.0,43.46,dane
05031,05,AMALFI,2021,27516.0,43.109,dane
05034,05,ANDES,2017,43265.0,53.212,dane
05034,05,ANDES,2018,43265.0,53.212,dane
05034,05,ANDES,2019,43759.0,52.817,dane
05034,05,ANDES,2020,44325.0,52.42,dane
05034,05,ANDES,2021,44621.0,52.041,dane
05036,05,ANGELÓPOLIS,2017,5758.0,62.383,dane
05036,05,ANGELÓPOLIS,2018,5758.0,62.383,dane
05036,05,ANGELÓPOLIS,2019,5846.0,61.632,dane
05036,05,ANGELÓPOLIS,2020,5944.0,61.003,dane
05036,05,ANGELÓPOLIS,2021,5999.0,60.543,dane
05038,05,ANGOSTURA,2017,11444.0,77.001,dane
05038,05,ANGOSTURA,2018,11444.0,77.001,dane
05038,05,ANGOSTURA,2019,11687.0,76.786,dane
05038,05,ANGOSTURA,2020,11950.0,76.603,dane
05038,05,ANGOSTURA,2021,12064.0,76.177,dane
05040,05,ANORÍ,2017,18317.0,58.328,dane
05040,05,ANORÍ,2018,18317.0,58.328,dane
05040,05,ANORÍ,2019,18801.0,57.763,dane
05040,05,ANORÍ,2020,19295.0,57.222,dane
05040,05,ANORÍ,2021,19662.0,56.83,dane
05042,05,SANTA FÉ DE ANTIOQUIA,2017,26167.0,37.501,dane
05042,05,SANTA FÉ DE ANTIOQUIA,2018,26167.0,37.501,dane
05042,05,SANTA FÉ DE ANTIOQUIA,2019,26520.0,36.938,dane
05042,05,SANTA FÉ DE ANTIOQUIA,2020,26905.0,36.313,dane
05042,05,SANTA FÉ DE ANTIOQUIA,2021,27275.0,36.011,dane
05044,05,ANZÁ,2017,7013.0,81.991,dane
05044,05,ANZÁ,2018,7013.0,81.991,dane
05044,05,ANZÁ,2019,7162.0,81.681,dane
05044,05,ANZÁ,2020,7340.0,81.09,dane
05044,05,ANZÁ,2021,7421.0,80.596,dane
05045,05,APARTADÓ,2017,121014.0,18.64,dane
05045,05,APARTADÓ,2018,121014.0,18.64,dane
05045,05,APARTADÓ,2019,121255.0,17.994,dane
05045,05,APARTADÓ,2020,121664.0,17.323,dane
05045,05,APARTADÓ,2021,122772.0,17.124,dane
05051,05,ARBOLETES,2017,29307.0,66.742,dane
05051,05,ARBOLETES,2018,29307.0,66.742,dane
05051,05,ARBOLETES,2019,29738.0,65.546,dane
