departamentodededesc,municipiosededesc,claseprestador,ese,n
Amazonas,EL ENCANTO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA CHORRERA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA PEDRERA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LA VICTORIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LETICIA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,12
Amazonas,LETICIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,LETICIA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Amazonas,LETICIA,Profesional Independiente,NO,42
Amazonas,MIRITI - PARANÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO ALEGRÍA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO ARICA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO NARIÑO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,PUERTO SANTANDER,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Amazonas,TARAPACÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ABEJORRAL,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,ABEJORRAL,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,ABEJORRAL,Profesional Independiente,NO,15
Antioquia,ABRIAQUÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ALEJANDRÍA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ALEJANDRÍA,Profesional Independiente,NO,1
Antioquia,AMAGÁ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,AMAGÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,AMAGÁ,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,1
Antioquia,AMAGÁ,Profesional Independiente,NO,33
Antioquia,AMALFI,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,AMALFI,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,AMALFI,Profesional Independiente,NO,19
Antioquia,ANDES,Instituciones Prestadoras de Servicios de Salud - IPS,NO,8
Antioquia,ANDES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,7
Antioquia,ANDES,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,ANDES,Profesional Independiente,NO,58
Antioquia,ANGELÓPOLIS,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANGELÓPOLIS,Profesional Independiente,NO,2
Antioquia,ANGOSTURA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANGOSTURA,Profesional Independiente,NO,2
Antioquia,ANORÍ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,ANORÍ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,ANORÍ,Profesional Independiente,NO,11
Antioquia,ANZA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ANZA,Profesional Independiente,NO,3
Antioquia,APARTADÓ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,76
Antioquia,APARTADÓ,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,7
Antioquia,APARTADÓ,Profesional Independiente,NO,138
Antioquia,APARTADÓ,Transporte Especial de Pacientes,NO,1
Antioquia,ARBOLETES,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,ARBOLETES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARBOLETES,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,2
Antioquia,ARBOLETES,Profesional Independiente,NO,11
Antioquia,ARGELIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARGELIA,Profesional Independiente,NO,1
Antioquia,ARMENIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,ARMENIA,Profesional Independiente,NO,1
Antioquia,BARBOSA,Instituciones Prestadoras de Servicios de Salud - IPS,NO,5
Antioquia,BARBOSA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BARBOSA,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,3
Antioquia,BARBOSA,Profesional Independiente,NO,63
Antioquia,BELLO,Instituciones Prestadoras de Servicios de Salud - IPS,NO,84
Antioquia,BELLO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,11
Antioquia,BELLO,Objeto Social Diferente a la Prestación de Servicios de Salud,NO,34
Antioquia,BELLO,Profesional Independiente,NO,439
Antioquia,BELLO,Transporte Especial de Pacientes,NO,1
Antioquia,BELMIRA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BELMIRA,Profesional Independiente,NO,5
Antioquia,BETANIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BETANIA,Profesional Independiente,NO,5
Antioquia,BETULIA,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,BETULIA,Profesional Independiente,NO,6
Antioquia,BRICEÑO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,4
Antioquia,BRICEÑO,Profesional Independiente,NO,3
Antioquia,BURITICÁ,Instituciones Prestadoras de Servicios de Salud - IPS,NO,1
Antioquia,BURITICÁ,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
Antioquia,BURITICÁ,Profesional Independiente,NO,1
Antioquia,CÁCERES,Instituciones Prestadoras de Servicios de Salud - IPS,SI,2
Antioquia,CÁCERES,Profesional Independiente,NO,4
Antioquia,CAICEDO,Instituciones Prestadoras de Servicios de Salud - IPS,SI,1
