cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
05001,05,MEDELLÍN,10056,58
05002,05,ABEJORRAL,20,4
05004,05,ABRIAQUÍ,1,1
05021,05,ALEJANDRÍA,2,1
05030,05,AMAGÁ,40,1
05031,05,AMALFI,21,1
05034,05,ANDES,75,7
05036,05,ANGELÓPOLIS,3,1
05038,05,ANGOSTURA,3,1
05040,05,ANORÍ,14,2
05042,05,SANTA FÉ DE ANTIOQUIA,0,0
05044,05,ANZÁ,4,1
05045,05,APARTADÓ,222,0
05051,05,ARBOLETES,19,1
05055,05,ARGELIA,2,1
05059,05,ARMENIA,2,1
05079,05,BARBOSA,72,1
05086,05,BELMIRA,6,1
05088,05,BELLO,569,11
05091,05,BETANIA,6,1
05093,05,BETULIA,8,2
05101,05,CIUDAD BOLÍVAR,40,3
05107,05,BRICEÑO,7,4
05113,05,BURITICÁ,3,1
05120,05,CÁCERES,6,2
05125,05,CAICEDO,10,1
05129,05,CALDAS,151,2
05134,05,CAMPAMENTO,3,1
05138,05,CAÑASGORDAS,6,1
05142,05,CARACOLÍ,2,1
05145,05,CARAMANTA,8,1
05147,05,CAREPA,37,4
05148,05,EL CARMEN DE VIBORAL,138,1
05150,05,CAROLINA,4,1
05154,05,CAUCASIA,138,1
05172,05,CHIGORODÓ,48,1
05190,05,CISNEROS,5,1
05197,05,COCORNÁ,8,1
05206,05,CONCEPCIÓN,6,1
05209,05,CONCORDIA,30,1
05212,05,COPACABANA,137,1
05234,05,DABEIBA,13,1
05237,05,DONMATÍAS,0,0
05240,05,EBÉJICO,5,2
05250,05,EL BAGRE,25,3
05264,05,ENTRERRÍOS,26,1
05266,05,ENVIGADO,929,3
05282,05,FREDONIA,25,1
05284,05,FRONTINO,24,4
05306,05,GIRALDO,6,1
05308,05,GIRARDOTA,92,1
05310,05,GÓMEZ PLATA,8,1
05313,05,GRANADA,9,1
05315,05,GUADALUPE,3,1
05318,05,GUARNE,81,1
05321,05,GUATAPÉ,13,1
05347,05,HELICONIA,2,1
05353,05,HISPANIA,9,1
05360,05,ITAGÜÍ,470,4
05361,05,ITUANGO,10,2
05364,05,JARDÍN,49,2
05368,05,JERICÓ,32,1
05376,05,LA CEJA,197,1
05380,05,LA ESTRELLA,80,3
05390,05,LA PINTADA,4,1
05400,05,LA UNIÓN,52,1
05411,05,LIBORINA,2,1
05425,05,MACEO,2,1
05440,05,MARINILLA,198,1
05467,05,MONTEBELLO,4,1
05475,05,MURINDÓ,1,1
05480,05,MUTATÁ,2,1
05483,05,NARIÑO,3,2
05490,05,NECOCLÍ,45,8
05495,05,NECHÍ,6,1
05501,05,OLAYA,2,2
05541,05,PEÑOL,33,1
05543,05,PEQUE,4,1
05576,05,PUEBLORRICO,16,1
05579,05,PUERTO BERRÍO,44,0
05585,05,PUERTO NARE,6,2
05591,05,PUERTO TRIUNFO,17,1
05604,05,REMEDIOS,18,1
05607,05,RETIRO,64,0
05615,05,RIONEGRO,902,3
05628,05,SABANALARGA,2,1
05631,05,SABANETA,402,1
05642,05,SALGAR,19,1
05647,05,SAN ANDRÉS DE CUERQUÍA,0,0
05649,05,SAN CARLOS,13,2
05652,05,SAN FRANCISCO,3,1
05656,05,SAN JERÓNIMO,19,1
05658,05,SAN JOSÉ DE LA MONTAÑA,3,1
05659,05,SAN JUAN DE URABÁ,11,1
05660,05,SAN LUIS,18,1
05664,05,SAN PEDRO DE LOS MILAGROS,0,0
05665,05,SAN PEDRO DE URABÁ,6,1
05667,05,SAN RAFAEL,17,1
05670,05,SAN ROQUE,17,2
05674,05,SAN VICENTE FERRER,0,0
05679,05,SANTA BÁRBARA,11,1
05686,05,SANTA ROSA DE OSOS,64,0
05690,05,SANTO DOMINGO,6,2
05697,05,EL SANTUARIO,75,1
05736,05,SEGOVIA,51,2
05756,05,SONSÓN,56,3
05761,05,SOPETRÁN,9,1
05789,05,TÁMESIS,16,1
05790,05,TARAZÁ,10,1
05792,05,TARSO,5,1
05809,05,TITIRIBÍ,4,1
05819,05,TOLEDO,5,1
05837,05,TURBO,97,14
05842,05,URAMITA,2,1
05847,05,URRAO,68,1
05854,05,VALDIVIA,2,1
05856,05,VALPARAÍSO,5,1
05858,05,VEGACHÍ,19,1
05861,05,VENECIA,10,2
05873,05,VIGÍA DEL FUERTE,4,4
05885,05,YALÍ,9,1
05887,05,YARUMAL,95,8
05890,05,YOLOMBÓ,11,2
05893,05,YONDÓ,5,1
05895,05,ZARAGOZA,17,0
08001,08,BARRANQUILLA,2164,3
08078,08,BARANOA,30,5
08137,08,CAMPO DE LA CRUZ,9,2
08141,08,CANDELARIA,7,3
08296,08,GALAPA,20,2
08372,08,JUAN DE ACOSTA,9,4
08421,08,LURUACO,11,6
08433,08,MALAMBO,34,6
08436,08,MANATÍ,7,2
08520,08,PALMAR DE VARELA,7,1
08549,08,PIOJÓ,2,2
08558,08,POLONUEVO,5,2
08560,08,PONEDERA,9,5
08573,08,PUERTO COLOMBIA,323,2
08606,08,REPELÓN,11,6
08634,08,SABANAGRANDE,18,1
08638,08,SABANALARGA,52,12
08675,08,SANTA LUCÍA,2,2
08685,08,SANTO TOMÁS,20,1
08758,08,SOLEDAD,188,11
08770,08,SUAN,2,1
08832,08,TUBARÁ,6,5
