cod_dpto,nom_dpto,cod_mpio,nom_mpio,a_o,tipoatencion,atenciones
-1,NO DEFINIDO,-1,No Definido,2017,CONSULTAS,5071598
-1,NO DEFINIDO,-1,No Definido,2017,HOSPITALIZACIONES,19205
-1,NO DEFINIDO,-1,No Definido,2017,PROCEDIMIENTOS DE SALUD,6895993
-1,NO DEFINIDO,-1,No Definido,2017,URGENCIAS,135826
-1,NO DEFINIDO,-1,No Definido,2018,CONSULTAS,9702898
-1,NO DEFINIDO,-1,No Definido,2018,HOSPITALIZACIONES,97711
-1,NO DEFINIDO,-1,No Definido,2018,PROCEDIMIENTOS DE SALUD,32441281
-1,NO DEFINIDO,-1,No Definido,2018,URGENCIAS,322980
-1,NO DEFINIDO,-1,No Definido,2019,CONSULTAS,9819462
-1,NO DEFINIDO,-1,No Definido,2019,HOSPITALIZACIONES,55112
-1,NO DEFINIDO,-1,No Definido,2019,PROCEDIMIENTOS DE SALUD,3609654
-1,NO DEFINIDO,-1,No Definido,2019,URGENCIAS,389441
-1,NO DEFINIDO,-1,No Definido,2020,CONSULTAS,15959833
-1,NO DEFINIDO,-1,No Definido,2020,HOSPITALIZACIONES,53049
-1,NO DEFINIDO,-1,No Definido,2020,PROCEDIMIENTOS DE SALUD,33455198
-1,NO DEFINIDO,-1,No Definido,2020,URGENCIAS,230931
-1,NO DEFINIDO,-1,No Definido,2021,CONSULTAS,8021666
-1,NO DEFINIDO,-1,No Definido,2021,HOSPITALIZACIONES,5830
-1,NO DEFINIDO,-1,No Definido,2021,PROCEDIMIENTOS DE SALUD,16039837
-1,NO DEFINIDO,-1,No Definido,2021,URGENCIAS,125850
05,Antioquia,05001,MedellÃ­n,2017,CONSULTAS,10888778
05,Antioquia,05001,MedellÃ­n,2017,HOSPITALIZACIONES,86208
05,Antioquia,05001,MedellÃ­n,2017,PROCEDIMIENTOS DE SALUD,10827680
05,Antioquia,05001,MedellÃ­n,2017,URGENCIAS,308218
05,Antioquia,05001,MedellÃ­n,2018,CONSULTAS,11711984
05,Antioquia,05001,MedellÃ­n,2018,HOSPITALIZACIONES,165379
05,Antioquia,05001,MedellÃ­n,2018,PROCEDIMIENTOS DE SALUD,9196091
05,Antioquia,05001,MedellÃ­n,2018,URGENCIAS,462065
05,Antioquia,05001,MedellÃ­n,2019,CONSULTAS,24378877
05,Antioquia,05001,MedellÃ­n,2019,HOSPITALIZACIONES,304590
05,Antioquia,05001,MedellÃ­n,2019,PROCEDIMIENTOS DE SALUD,22447462
05,Antioquia,05001,MedellÃ­n,2019,URGENCIAS,450065
05,Antioquia,05001,MedellÃ­n,2020,CONSULTAS,5826750
05,Antioquia,05001,MedellÃ­n,2020,HOSPITALIZACIONES,90069
05,Antioquia,05001,MedellÃ­n,2020,PROCEDIMIENTOS DE SALUD,6124693
05,Antioquia,05001,MedellÃ­n,2020,URGENCIAS,474553
05,Antioquia,05001,MedellÃ­n,2021,CONSULTAS,7478331
05,Antioquia,05001,MedellÃ­n,2021,HOSPITALIZACIONES,80472
05,Antioquia,05001,MedellÃ­n,2021,PROCEDIMIENTOS DE SALUD,5155968
05,Antioquia,05001,MedellÃ­n,2021,URGENCIAS,124888
05,Antioquia,05002,Abejorral,2017,CONSULTAS,25432
05,Antioquia,05002,Abejorral,2017,HOSPITALIZACIONES,106
05,Antioquia,05002,Abejorral,2017,PROCEDIMIENTOS DE SALUD,4350
05,Antioquia,05002,Abejorral,2017,URGENCIAS,193
05,Antioquia,05002,Abejorral,2018,CONSULTAS,23706
05,Antioquia,05002,Abejorral,2018,HOSPITALIZACIONES,241
05,Antioquia,05002,Abejorral,2018,PROCEDIMIENTOS DE SALUD,42572
05,Antioquia,05002,Abejorral,2018,URGENCIAS,375
05,Antioquia,05002,Abejorral,2019,CONSULTAS,35843
05,Antioquia,05002,Abejorral,2019,HOSPITALIZACIONES,728
05,Antioquia,05002,Abejorral,2019,PROCEDIMIENTOS DE SALUD,66849
05,Antioquia,05002,Abejorral,2019,URGENCIAS,607
05,Antioquia,05002,Abejorral,2020,CONSULTAS,9652
05,Antioquia,05002,Abejorral,2020,HOSPITALIZACIONES,326
05,Antioquia,05002,Abejorral,2020,PROCEDIMIENTOS DE SALUD,7615
05,Antioquia,05002,Abejorral,2020,URGENCIAS,478
05,Antioquia,05002,Abejorral,2021,CONSULTAS,8261
05,Antioquia,05002,Abejorral,2021,HOSPITALIZACIONES,252
05,Antioquia,05002,Abejorral,2021,PROCEDIMIENTOS DE SALUD,27073
05,Antioquia,05002,Abejorral,2021,URGENCIAS,150
05,Antioquia,05004,AbriaquÃ­,2017,CONSULTAS,2555
05,Antioquia,05004,AbriaquÃ­,2017,HOSPITALIZACIONES,40
05,Antioquia,05004,AbriaquÃ­,2017,PROCEDIMIENTOS DE SALUD,1393
05,Antioquia,05004,AbriaquÃ­,2017,URGENCIAS,43
05,Antioquia,05004,AbriaquÃ­,2018,CONSULTAS,1212
05,Antioquia,05004,AbriaquÃ­,2018,HOSPITALIZACIONES,32
05,Antioquia,05004,AbriaquÃ­,2018,PROCEDIMIENTOS DE SALUD,6643
05,Antioquia,05004,AbriaquÃ­,2018,URGENCIAS,30
05,Antioquia,05004,AbriaquÃ­,2019,CONSULTAS,2075
05,Antioquia,05004,AbriaquÃ­,2019,HOSPITALIZACIONES,52
05,Antioquia,05004,AbriaquÃ­,2019,PROCEDIMIENTOS DE SALUD,3384
05,Antioquia,05004,AbriaquÃ­,2019,URGENCIAS,50
05,Antioquia,05004,AbriaquÃ­,2020,CONSULTAS,1602
05,Antioquia,05004,AbriaquÃ­,2020,HOSPITALIZACIONES,48
05,Antioquia,05004,AbriaquÃ­,2020,PROCEDIMIENTOS DE SALUD,2278
05,Antioquia,05004,AbriaquÃ­,2020,URGENCIAS,50
05,Antioquia,05004,AbriaquÃ­,2021,CONSULTAS,801
05,Antioquia,05004,AbriaquÃ­,2021,HOSPITALIZACIONES,22
05,Antioquia,05004,AbriaquÃ­,2021,PROCEDIMIENTOS DE SALUD,935
05,Antioquia,05004,AbriaquÃ­,2021,URGENCIAS,40
05,Antioquia,05021,AlejandrÃ­a,2017,CONSULTAS,3756
05,Antioquia,05021,AlejandrÃ­a,2017,HOSPITALIZACIONES,53
05,Antioquia,05021,AlejandrÃ­a,2017,PROCEDIMIENTOS DE SALUD,10813
05,Antioquia,05021,AlejandrÃ­a,2017,URGENCIAS,91
05,Antioquia,05021,AlejandrÃ­a,2018,CONSULTAS,4404
05,Antioquia,05021,AlejandrÃ­a,2018,HOSPITALIZACIONES,97
05,Antioquia,05021,AlejandrÃ­a,2018,PROCEDIMIENTOS DE SALUD,6227
05,Antioquia,05021,AlejandrÃ­a,2018,URGENCIAS,169
05,Antioquia,05021,AlejandrÃ­a,2019,CONSULTAS,6126
05,Antioquia,05021,AlejandrÃ­a,2019,HOSPITALIZACIONES,116
05,Antioquia,05021,AlejandrÃ­a,2019,PROCEDIMIENTOS DE SALUD,14873
05,Antioquia,05021,AlejandrÃ­a,2019,URGENCIAS,395
05,Antioquia,05021,AlejandrÃ­a,2020,CONSULTAS,2219
05,Antioquia,05021,AlejandrÃ­a,2020,HOSPITALIZACIONES,71
05,Antioquia,05021,AlejandrÃ­a,2020,PROCEDIMIENTOS DE SALUD,4749
05,Antioquia,05021,AlejandrÃ­a,2020,URGENCIAS,174
05,Antioquia,05021,AlejandrÃ­a,2021,CONSULTAS,986
05,Antioquia,05021,AlejandrÃ­a,2021,HOSPITALIZACIONES,42
05,Antioquia,05021,AlejandrÃ­a,2021,PROCEDIMIENTOS DE SALUD,2426
05,Antioquia,05021,AlejandrÃ­a,2021,URGENCIAS,54
05,Antioquia,05030,AmagÃ¡,2017,CONSULTAS,26875
05,Antioquia,05030,AmagÃ¡,2017,HOSPITALIZACIONES,304
05,Antioquia,05030,AmagÃ¡,2017,PROCEDIMIENTOS DE SALUD,71991
05,Antioquia,05030,AmagÃ¡,2017,URGENCIAS,282
05,Antioquia,05030,AmagÃ¡,2018,CONSULTAS,67363
05,Antioquia,05030,AmagÃ¡,2018,HOSPITALIZACIONES,809
05,Antioquia,05030,AmagÃ¡,2018,PROCEDIMIENTOS DE SALUD,148099
05,Antioquia,05030,AmagÃ¡,2018,URGENCIAS,782
05,Antioquia,05030,AmagÃ¡,2019,CONSULTAS,62399
05,Antioquia,05030,AmagÃ¡,2019,HOSPITALIZACIONES,799
05,Antioquia,05030,AmagÃ¡,2019,PROCEDIMIENTOS DE SALUD,78224
05,Antioquia,05030,AmagÃ¡,2019,URGENCIAS,798
05,Antioquia,05030,AmagÃ¡,2020,CONSULTAS,36779
05,Antioquia,05030,AmagÃ¡,2020,HOSPITALIZACIONES,1014
05,Antioquia,05030,AmagÃ¡,2020,PROCEDIMIENTOS DE SALUD,86757
05,Antioquia,05030,AmagÃ¡,2020,URGENCIAS,787
05,Antioquia,05030,AmagÃ¡,2021,CONSULTAS,32714
05,Antioquia,05030,AmagÃ¡,2021,HOSPITALIZACIONES,441
05,Antioquia,05030,AmagÃ¡,2021,PROCEDIMIENTOS DE SALUD,30138
05,Antioquia,05030,AmagÃ¡,2021,URGENCIAS,292
05,Antioquia,05031,Amalfi,2017,CONSULTAS,8728
05,Antioquia,05031,Amalfi,2017,HOSPITALIZACIONES,91
05,Antioquia,05031,Amalfi,2017,PROCEDIMIENTOS DE SALUD,11598
05,Antioquia,05031,Amalfi,2017,URGENCIAS,57
05,Antioquia,05031,Amalfi,2018,CONSULTAS,22143
05,Antioquia,05031,Amalfi,2018,HOSPITALIZACIONES,226
05,Antioquia,05031,Amalfi,2018,PROCEDIMIENTOS DE SALUD,67481
05,Antioquia,05031,Amalfi,2018,URGENCIAS,155
05,Antioquia,05031,Amalfi,2019,CONSULTAS,28531
05,Antioquia,05031,Amalfi,2019,HOSPITALIZACIONES,331
05,Antioquia,05031,Amalfi,2019,PROCEDIMIENTOS DE SALUD,47170
05,Antioquia,05031,Amalfi,2019,URGENCIAS,214
05,Antioquia,05031,Amalfi,2020,CONSULTAS,7996
05,Antioquia,05031,Amalfi,2020,HOSPITALIZACIONES,864
05,Antioquia,05031,Amalfi,2020,PROCEDIMIENTOS DE SALUD,24771
05,Antioquia,05031,Amalfi,2020,URGENCIAS,211
05,Antioquia,05031,Amalfi,2021,CONSULTAS,11828
05,Antioquia,05031,Amalfi,2021,HOSPITALIZACIONES,470
05,Antioquia,05031,Amalfi,2021,PROCEDIMIENTOS DE SALUD,47492
05,Antioquia,05031,Amalfi,2021,URGENCIAS,250
05,Antioquia,05034,Andes,2017,CONSULTAS,36830
05,Antioquia,05034,Andes,2017,HOSPITALIZACIONES,366
05,Antioquia,05034,Andes,2017,PROCEDIMIENTOS DE SALUD,32498
05,Antioquia,05034,Andes,2017,URGENCIAS,184
05,Antioquia,05034,Andes,2018,CONSULTAS,45417
05,Antioquia,05034,Andes,2018,HOSPITALIZACIONES,634
05,Antioquia,05034,Andes,2018,PROCEDIMIENTOS DE SALUD,99078
05,Antioquia,05034,Andes,2018,URGENCIAS,986
05,Antioquia,05034,Andes,2019,CONSULTAS,50662
05,Antioquia,05034,Andes,2019,HOSPITALIZACIONES,1136
05,Antioquia,05034,Andes,2019,PROCEDIMIENTOS DE SALUD,130379
05,Antioquia,05034,Andes,2019,URGENCIAS,1606
05,Antioquia,05034,Andes,2020,CONSULTAS,25594
05,Antioquia,05034,Andes,2020,HOSPITALIZACIONES,792
05,Antioquia,05034,Andes,2020,PROCEDIMIENTOS DE SALUD,56058
05,Antioquia,05034,Andes,2020,URGENCIAS,483
05,Antioquia,05034,Andes,2021,CONSULTAS,11077
05,Antioquia,05034,Andes,2021,HOSPITALIZACIONES,361
05,Antioquia,05034,Andes,2021,PROCEDIMIENTOS DE SALUD,17224
05,Antioquia,05034,Andes,2021,URGENCIAS,335
05,Antioquia,05036,AngelÃ³polis,2017,CONSULTAS,1995
05,Antioquia,05036,AngelÃ³polis,2017,HOSPITALIZACIONES,38
05,Antioquia,05036,AngelÃ³polis,2017,PROCEDIMIENTOS DE SALUD,8096
05,Antioquia,05036,AngelÃ³polis,2017,URGENCIAS,39
05,Antioquia,05036,AngelÃ³polis,2018,CONSULTAS,5922
05,Antioquia,05036,AngelÃ³polis,2018,HOSPITALIZACIONES,93
05,Antioquia,05036,AngelÃ³polis,2018,PROCEDIMIENTOS DE SALUD,14441
05,Antioquia,05036,AngelÃ³polis,2018,URGENCIAS,66
05,Antioquia,05036,AngelÃ³polis,2019,CONSULTAS,6175
05,Antioquia,05036,AngelÃ³polis,2019,HOSPITALIZACIONES,68
05,Antioquia,05036,AngelÃ³polis,2019,PROCEDIMIENTOS DE SALUD,3959
05,Antioquia,05036,AngelÃ³polis,2019,URGENCIAS,92
05,Antioquia,05036,AngelÃ³polis,2020,CONSULTAS,3313
05,Antioquia,05036,AngelÃ³polis,2020,HOSPITALIZACIONES,158
05,Antioquia,05036,AngelÃ³polis,2020,PROCEDIMIENTOS DE SALUD,7026
05,Antioquia,05036,AngelÃ³polis,2020,URGENCIAS,139
05,Antioquia,05036,AngelÃ³polis,2021,CONSULTAS,2806
05,Antioquia,05036,AngelÃ³polis,2021,HOSPITALIZACIONES,91
05,Antioquia,05036,AngelÃ³polis,2021,PROCEDIMIENTOS DE SALUD,3339
05,Antioquia,05036,AngelÃ³polis,2021,URGENCIAS,80
05,Antioquia,05038,Angostura,2017,CONSULTAS,7550
05,Antioquia,05038,Angostura,2017,HOSPITALIZACIONES,78
05,Antioquia,05038,Angostura,2017,PROCEDIMIENTOS DE SALUD,17483
05,Antioquia,05038,Angostura,2017,URGENCIAS,80
05,Antioquia,05038,Angostura,2018,CONSULTAS,14363
05,Antioquia,05038,Angostura,2018,HOSPITALIZACIONES,125
05,Antioquia,05038,Angostura,2018,PROCEDIMIENTOS DE SALUD,43027
05,Antioquia,05038,Angostura,2018,URGENCIAS,63
05,Antioquia,05038,Angostura,2019,CONSULTAS,25928
05,Antioquia,05038,Angostura,2019,HOSPITALIZACIONES,463
05,Antioquia,05038,Angostura,2019,PROCEDIMIENTOS DE SALUD,28147
05,Antioquia,05038,Angostura,2019,URGENCIAS,422
05,Antioquia,05038,Angostura,2020,CONSULTAS,22922
05,Antioquia,05038,Angostura,2020,HOSPITALIZACIONES,933
05,Antioquia,05038,Angostura,2020,PROCEDIMIENTOS DE SALUD,59993
05,Antioquia,05038,Angostura,2020,URGENCIAS,534
05,Antioquia,05038,Angostura,2021,CONSULTAS,23931
05,Antioquia,05038,Angostura,2021,HOSPITALIZACIONES,533
05,Antioquia,05038,Angostura,2021,PROCEDIMIENTOS DE SALUD,28209
05,Antioquia,05038,Angostura,2021,URGENCIAS,234
05,Antioquia,05040,AnorÃ­,2017,CONSULTAS,4776
