cod_mpio,capitulo,atenciones,pct
-1,A,730642,1.461
-1,B,1118197,2.2359
-1,C,378372,0.7566
-1,D,589569,1.1789
-1,E,3236656,6.4718
-1,F,1675441,3.3501
-1,G,1488337,2.976
-1,H,2617267,5.2333
-1,I,3088421,6.1754
-1,J,2758358,5.5155
-1,K,5680333,11.3581
-1,L,1284168,2.5678
-1,M,2973324,5.9453
-1,N,2147768,4.2946
-1,O,347626,0.6951
-1,P,69711,0.1394
-1,Q,199333,0.3986
-1,R,4278529,8.5551
-1,S,1309580,2.6186
-1,T,425712,0.8512
-1,U,1992216,3.9835
-1,V,14845,0.0297
-1,W,37315,0.0746
-1,X,10227,0.0204
-1,Y,79704,0.1594
-1,Z,11479741,22.9543
05001,A,1239284,1.9724
05001,B,1214880,1.9336
05001,C,835503,1.3298
05001,D,648952,1.0328
05001,E,3389660,5.3949
05001,F,1710790,2.7228
05001,G,1516919,2.4143
05001,H,2974893,4.7347
05001,I,4272254,6.7996
05001,J,3827514,6.0917
05001,K,5732318,9.1234
05001,L,1836719,2.9233
05001,M,5615087,8.9368
05001,N,3408749,5.4252
05001,O,568765,0.9052
05001,P,100411,0.1598
05001,Q,189558,0.3017
05001,R,8148736,12.9692
05001,S,1862921,2.965
05001,T,558023,0.8881
05001,U,812618,1.2933
05001,V,10500,0.0167
05001,W,38932,0.062
05001,X,13775,0.0219
05001,Y,356300,0.5671
05001,Z,11947146,19.0147
05002,A,612,0.5755
05002,B,9214,8.6638
05002,C,1636,1.5383
05002,D,806,0.7579
05002,E,3419,3.2149
05002,F,2358,2.2172
05002,G,1585,1.4904
05002,H,3537,3.3258
05002,I,15507,14.5811
05002,J,3699,3.4781
05002,K,13675,12.8585
05002,L,2453,2.3065
05002,M,8604,8.0903
05002,N,6607,6.2125
05002,O,1301,1.2233
05002,P,168,0.158
05002,Q,215,0.2022
05002,R,7785,7.3202
05002,S,4284,4.0282
05002,T,1032,0.9704
05002,U,27,0.0254
05002,V,10,0.0094
05002,W,85,0.0799
05002,X,73,0.0686
05002,Y,105,0.0987
05002,Z,17553,16.5049
05004,A,55,0.6357
05004,B,113,1.3061
05004,C,111,1.2829
05004,D,92,1.0633
05004,E,343,3.9644
05004,F,87,1.0055
05004,G,93,1.0749
05004,H,350,4.0453
05004,I,1600,18.4928
05004,J,343,3.9644
05004,K,868,10.0324
05004,L,180,2.0804
05004,M,396,4.577
05004,N,446,5.1549
05004,O,140,1.6181
05004,P,9,0.104
05004,Q,40,0.4623
05004,R,839,9.6972
05004,S,409,4.7272
05004,T,82,0.9478
05004,U,12,0.1387
05004,V,1,0.0116
05004,W,20,0.2312
05004,X,12,0.1387
05004,Y,5,0.0578
05004,Z,2006,23.1854
05021,A,133,0.7092
05021,B,264,1.4078
05021,C,501,2.6716
05021,D,275,1.4664
05021,E,796,4.2447
05021,F,385,2.053
05021,G,310,1.6531
05021,H,924,4.9272
05021,I,1649,8.7933
05021,J,1238,6.6016
05021,K,1228,6.5483
05021,L,489,2.6076
05021,M,1344,7.1669
05021,N,1491,7.9507
05021,O,487,2.5969
05021,P,33,0.176
05021,Q,40,0.2133
05021,R,1799,9.5931
05021,S,929,4.9539
05021,T,272,1.4504
05021,U,60,0.3199
05021,W,38,0.2026
05021,X,15,0.08
05021,Y,21,0.112
05021,Z,4032,21.5006
05030,A,2703,1.1629
05030,B,4027,1.7325
05030,C,3723,1.6017
05030,D,2533,1.0898
05030,E,15042,6.4714
05030,F,6606,2.842
05030,G,5619,2.4174
05030,H,7565,3.2546
05030,I,38270,16.4646
05030,J,11337,4.8774
05030,K,18188,7.8249
05030,L,4177,1.797
05030,M,17878,7.6915
05030,N,8454,3.6371
05030,O,2849,1.2257
05030,P,659,0.2835
05030,Q,501,0.2155
05030,R,22390,9.6327
05030,S,10024,4.3125
05030,T,2876,1.2373
05030,U,817,0.3515
05030,V,44,0.0189
05030,W,367,0.1579
05030,X,92,0.0396
05030,Y,245,0.1054
05030,Z,45452,19.5545
05031,A,804,0.9794
05031,B,1963,2.3911
05031,C,1407,1.7139
05031,D,924,1.1255
05031,E,3212,3.9125
05031,F,1892,2.3046
05031,G,1388,1.6907
05031,H,2350,2.8625
05031,I,14070,17.1387
05031,J,3986,4.8554
05031,K,4883,5.948
05031,L,1668,2.0318
05031,M,4138,5.0405
05031,N,3890,4.7384
05031,O,1631,1.9867
05031,P,395,0.4811
05031,Q,172,0.2095
05031,R,10427,12.7011
05031,S,3836,4.6726
05031,T,1198,1.4593
05031,U,1229,1.497
05031,V,8,0.0097
05031,W,126,0.1535
05031,X,100,0.1218
05031,Y,100,0.1218
05031,Z,16298,19.8526
05034,A,2166,1.2275
05034,B,2358,1.3363
05034,C,2772,1.5709
05034,D,2262,1.2819
05034,E,7557,4.2825
05034,F,4692,2.6589
05034,G,3765,2.1336
05034,H,5323,3.0165
05034,I,23168,13.1291
05034,J,8061,4.5681
05034,K,15292,8.6658
05034,L,3707,2.1007
05034,M,12389,7.0207
05034,N,11411,6.4665
05034,O,3595,2.0373
05034,P,311,0.1762
05034,Q,783,0.4437
05034,R,17157,9.7227
05034,S,9122,5.1694
05034,T,2031,1.1509
05034,U,996,0.5644
05034,V,56,0.0317
05034,W,401,0.2272
05034,X,145,0.0822
05034,Y,138,0.0782
05034,Z,36805,20.8571
05036,A,372,1.7651
05036,B,395,1.8743
05036,C,203,0.9632
05036,D,167,0.7924
05036,E,865,4.1044
05036,F,286,1.3571
05036,G,449,2.1305
05036,H,669,3.1744
05036,I,3541,16.8019
05036,J,939,4.4555
05036,K,1805,8.5647
05036,L,473,2.2444
05036,M,1384,6.567
05036,N,1077,5.1103
05036,O,345,1.637
05036,P,46,0.2183
05036,Q,53,0.2515
05036,R,2588,12.28
05036,S,1523,7.2266
05036,T,337,1.5991
05036,U,144,0.6833
05036,V,19,0.0902
05036,W,78,0.3701
05036,X,12,0.0569
05036,Y,40,0.1898
05036,Z,3265,15.4923
05038,A,974,0.9923
05038,B,1163,1.1848
05038,C,1538,1.5668
05038,D,952,0.9699
05038,E,5784,5.8925
05038,F,2986,3.042
05038,G,2944,2.9992
05038,H,2256,2.2983
05038,I,14011,14.2738
05038,J,4025,4.1005
05038,K,9300,9.4744
05038,L,2123,2.1628
05038,M,6531,6.6535
05038,N,5123,5.2191
05038,O,2422,2.4674
05038,P,781,0.7956
05038,Q,494,0.5033
05038,R,10027,10.2151
05038,S,3893,3.966
05038,T,1046,1.0656
05038,U,3170,3.2295
05038,V,17,0.0173
05038,W,125,0.1273
05038,X,56,0.0571
05038,Y,85,0.0866
05038,Z,16333,16.6393
05040,A,997,0.7435
05040,B,2892,2.1567
05040,C,1674,1.2484
05040,D,876,0.6533
05040,E,4715,3.5162
05040,F,3828,2.8548
05040,G,2353,1.7548
05040,H,2672,1.9927
05040,I,16890,12.5958
05040,J,5583,4.1636
05040,K,12694,9.4666
05040,L,2332,1.7391
05040,M,7141,5.3254
05040,N,7048,5.2561
05040,O,3775,2.8152
05040,P,797,0.5944
05040,Q,648,0.4833
05040,R,13159,9.8134
05040,S,7284,5.4321
05040,T,1581,1.179
05040,U,435,0.3244
05040,V,16,0.0119
05040,W,205,0.1529
05040,X,168,0.1253
05040,Y,165,0.123
05040,Z,34164,25.478
05042,A,4622,1.087
05042,B,6603,1.5529
05042,C,5282,1.2422
05042,D,5861,1.3784
05042,E,19476,4.5803
05042,F,8770,2.0625
05042,G,8871,2.0862
05042,H,18748,4.4091
05042,I,37755,8.879
05042,J,19864,4.6715
05042,K,46301,10.8888
05042,L,11445,2.6916
05042,M,32540,7.6526
05042,N,29060,6.8342
05042,O,6003,1.4118
05042,P,1255,0.2951
05042,Q,1514,0.3561
05042,R,47093,11.0751
05042,S,17835,4.1943
05042,T,11843,2.7852
05042,U,13738,3.2308
05042,V,75,0.0176
05042,W,804,0.1891
05042,X,255,0.06
05042,Y,1406,0.3307
05042,Z,68197,16.0382
05044,A,263,1.1044
05044,B,306,1.285
05044,C,214,0.8987
05044,D,170,0.7139
05044,E,1109,4.6571
05044,F,285,1.1968
05044,G,347,1.4572
05044,H,499,2.0955
05044,I,6786,28.497
05044,J,535,2.2467
