comunidad_id,departamento,municipio,zona_geografica,tipo_comunidad,altitud_msnm,poblacion_total,menores_5,adultos_mayores,gestantes,personas_discapacidad,distancia_km,tiempo_acceso_min,acceso_vial,transporte_disponible,agua_potable,alcantarillado,puesto_salud_cercano,cobertura_salud_pct,cobertura_vacunacion_pct,casos_prioritarios_30d,enfermedades_cronicas,alerta_epidemiologica,ultima_brigada_dias,brigadas_ultimos_12m,demanda_insatisfecha_pct,conectividad,temporada,riesgo_inundacion,riesgo_deslizamiento,indice_necesidad,indice_acceso,indice_vulnerabilidad,indice_brecha,puntaje_prioridad,prioridad,split
COM-00001,Putumayo,San Miguel,Amazonía,Campesina,848,363,68,24,10,13,63.66,472.7,Muy difícil,Fluvial + Terrestre,1,1,0,65.25,54.52,5,19,0,169,2,52.24,Baja,Seca,0.46,0.53,48.88,86.83,40.32,62.02,58.6,ALTA,train
COM-00002,Cundinamarca,La Palma,Andina,Campesina,2889,137,16,21,5,5,32.73,128.4,Bueno,Terrestre,0,0,0,61.61,67.39,0,13,0,140,3,40.67,Regular,Seca,0.18,0.5,19.27,42.05,73.66,53.77,40.65,BAJA,train
COM-00003,Chocó,Unguía,Pacífica,Rural dispersa,86,479,60,65,16,31,57.88,597.94,Muy difícil,Fluvial,1,0,0,61.65,49.33,2,46,0,131,0,18.16,Buena,Transición,0.58,0.35,41.51,83.94,60.7,43.64,58.78,ALTA,train
COM-00004,Nariño,Cumbitara,Andina,Indígena,2366,163,24,10,9,6,6.24,10.64,Difícil,Terrestre,0,0,1,71.87,89.35,1,8,0,189,0,20.17,Buena,Seca,0.27,0.65,32.64,20.25,68.26,31.69,30.92,BAJA,train
COM-00005,Huila,La Argentina,Andina,Rural,779,417,38,47,12,31,12.22,20.47,Bueno,Terrestre,1,1,0,78.89,70.39,1,37,0,316,1,17.23,Sin conexión,Seca,0.4,0.38,27.35,10.2,39.07,66.39,28.86,BAJA,train
COM-00006,Cauca,Jambaló,Andina,Campesina,1469,440,66,36,20,9,22.62,143.84,Muy difícil,No disponible,0,0,0,69.6,81.97,3,32,0,257,0,40.31,Baja,Seca,0.18,0.62,39.95,80.08,67.89,68.25,70.0,CRÍTICA,train
COM-00007,Santander,Barbosa,Andina,Rural,1128,292,23,23,4,16,3.5,17.26,Regular,Fluvial,0,0,0,75.11,64.45,1,28,0,218,0,32.65,Regular,Seca,0.23,0.55,33.95,13.2,58.77,60.31,39.54,BAJA,val
COM-00008,Chocó,Bojayá,Pacífica,Afrodescendiente,89,110,24,5,1,7,22.44,102.37,Difícil,Limitado,0,0,0,53.98,58.58,1,5,0,333,0,32.48,Buena,Seca,0.8,0.6,46.97,54.69,72.81,72.99,69.65,CRÍTICA,val
COM-00009,Caldas,Victoria,Andina,Rural dispersa,1981,117,10,6,2,1,38.82,76.14,Regular,Terrestre,0,0,0,76.01,67.91,0,7,1,55,1,38.94,Baja,Transición,0.31,0.53,35.61,42.64,50.67,42.45,31.28,BAJA,train
COM-00010,Santander,Carcasí,Andina,Afrodescendiente,1115,343,74,23,12,15,70.28,433.07,Regular,Limitado,1,0,0,74.38,90.23,1,21,0,62,3,56.16,Regular,Lluvias,0.34,0.41,20.72,81.14,61.01,50.21,54.75,ALTA,val
COM-00011,Cundinamarca,Suesca,Andina,Indígena,2140,286,59,17,13,4,6.56,36.43,Difícil,No disponible,0,0,0,71.96,52.69,0,16,0,114,1,49.21,Baja,Lluvias,0.19,0.53,19.79,40.57,71.39,53.93,29.75,BAJA,val
COM-00012,Tolima,Ortega,Andina,Indígena,977,623,146,85,18,45,33.08,107.14,Regular,Terrestre,1,0,0,62.58,67.8,5,81,0,50,2,23.13,Regular,Seca,0.4,0.37,52.66,45.97,75.06,35.5,59.89,ALTA,val
COM-00013,Santander,Guaca,Andina,Campesina,1279,406,38,72,18,12,38.51,263.21,Muy difícil,Limitado,1,0,0,71.16,55.13,1,48,0,19,0,8.1,Buena,Transición,0.17,0.44,35.14,82.25,58.89,25.62,40.87,BAJA,train
COM-00014,Santander,El Carmen de Chucurí,Andina,Afrodescendiente,1148,747,169,41,15,14,26.04,182.18,Regular,No disponible,0,1,0,69.97,80.19,2,37,0,102,0,21.99,Buena,Transición,0.25,0.56,21.61,66.02,55.72,41.55,39.59,BAJA,train
COM-00015,Putumayo,Puerto Asís,Amazonía,Indígena,1437,109,24,14,6,2,34.29,227.12,Difícil,Fluvial,1,0,0,53.64,63.61,1,9,0,156,0,72.06,Baja,Seca,0.43,0.48,49.17,62.14,68.71,68.32,54.38,ALTA,train
COM-00016,Córdoba,Purísima,Caribe,Rural,153,256,40,27,8,9,32.83,196.37,Difícil,No disponible,1,0,0,74.48,56.27,1,22,1,38,0,52.03,Regular,Lluvias,0.42,0.23,57.34,76.41,56.76,45.56,57.62,ALTA,train
COM-00017,Santander,Piedecuesta,Andina,Rural dispersa,1070,50,11,8,2,1,38.65,328.08,Regular,Limitado,1,0,0,79.54,60.23,2,7,0,87,1,38.87,Baja,Lluvias,0.41,0.57,55.93,65.33,71.0,46.42,57.22,ALTA,train
COM-00018,Bolívar,Soplaviento,Caribe,Rural,121,220,35,25,2,5,14.25,57.32,Regular,Limitado,1,1,1,80.83,75.27,1,22,0,203,2,21.67,Baja,Lluvias,0.41,0.24,35.6,34.59,38.76,34.04,37.67,BAJA,train
COM-00019,Magdalena,Guamal,Caribe,Campesina,187,498,61,63,5,14,13.31,104.7,Muy difícil,Limitado,0,0,0,55.7,61.59,2,48,0,121,1,18.22,Baja,Seca,0.47,0.41,37.23,60.59,66.55,42.41,47.43,MEDIA,val
COM-00020,Cundinamarca,Chocontá,Andina,Rural,1907,214,19,26,9,15,46.73,144.74,Bueno,Terrestre,0,0,0,79.87,60.44,2,19,0,1,2,23.83,Regular,Lluvias,0.32,0.47,50.75,52.31,71.04,29.66,44.73,MEDIA,test
COM-00021,Santander,La Belleza,Andina,Rural,851,266,54,19,3,9,7.18,60.13,Muy difícil,Limitado,1,0,0,54.89,43.18,2,15,1,50,0,40.66,Regular,Seca,0.5,0.47,72.69,48.62,55.67,42.51,55.29,ALTA,train
COM-00022,Valle del Cauca,El Águila,Andina,Campesina,1422,91,11,15,2,5,54.47,134.71,Regular,Terrestre,1,0,0,75.82,73.94,2,11,0,120,2,52.48,Regular,Lluvias,0.35,0.33,49.91,62.18,61.15,55.99,53.89,MEDIA,train
COM-00023,Cundinamarca,Vianí,Andina,Rural dispersa,2277,57,5,6,1,1,23.27,32.52,Bueno,Terrestre,1,0,0,74.49,80.38,0,5,1,62,1,24.74,Regular,Transición,0.33,0.27,34.66,18.14,44.03,37.65,32.42,BAJA,train
COM-00024,Caquetá,Florencia,Amazonía,Rural dispersa,326,408,90,22,12,24,39.44,335.51,Regular,No disponible,1,1,0,48.61,31.93,2,21,0,114,0,21.6,Sin conexión,Seca,0.22,0.18,45.18,72.72,46.17,42.89,50.01,MEDIA,test
COM-00025,Cundinamarca,Viotá,Andina,Rural dispersa,2240,533,91,41,14,17,43.19,119.86,Bueno,Terrestre,0,0,0,92.89,88.75,2,39,0,15,1,56.96,Buena,Lluvias,0.39,0.54,25.7,45.57,68.92,44.66,43.17,MEDIA,train
COM-00026,Sucre,San Antonio de Palmito,Caribe,Rural,87,188,30,16,6,12,25.56,159.69,Regular,No disponible,1,0,0,77.03,74.69,1,19,0,258,0,38.79,Baja,Lluvias,0.5,0.13,38.98,65.78,58.33,67.77,51.54,MEDIA,val
COM-00027,Sucre,San Juan de Betulia,Caribe,Rural dispersa,86,971,204,163,18,41,4.55,7.03,Regular,Terrestre + 4x4,0,0,1,63.47,65.76,5,133,0,303,1,47.77,Baja,Lluvias,0.52,0.17,44.57,11.68,85.84,56.98,52.9,MEDIA,test
COM-00028,Tolima,Guamo,Andina,Rural,803,333,34,46,7,25,12.31,74.92,Regular,No disponible,1,1,1,68.47,69.75,0,39,0,65,0,26.69,Regular,Transición,0.31,0.57,20.79,44.14,42.81,18.8,30.46,BAJA,val
COM-00029,Sucre,Chalán,Caribe,Rural dispersa,86,840,138,52,38,44,18.05,25.38,Regular,Terrestre,0,0,1,58.64,75.16,4,51,0,306,0,38.33,Regular,Seca,0.41,0.06,32.57,22.1,71.21,53.58,47.81,MEDIA,train
COM-00030,Santander,Villanueva,Andina,Rural dispersa,1445,260,57,43,11,12,87.0,762.76,Difícil,Limitado,1,0,0,78.82,86.35,0,28,0,15,0,56.3,Sin conexión,Lluvias,0.41,0.54,14.86,96.5,75.21,44.39,60.45,ALTA,train
COM-00031,Cesar,La Jagua de Ibirico,Caribe,Afrodescendiente,330,90,10,15,2,1,66.53,318.91,Difícil,No disponible,1,0,0,58.28,64.42,0,12,1,97,0,36.41,Buena,Lluvias,0.33,0.12,44.01,93.27,54.6,46.69,62.68,ALTA,train
COM-00032,Caldas,Norcasia,Andina,Rural,1970,460,97,43,7,26,36.39,147.74,Regular,No disponible,0,0,0,68.15,80.6,3,42,0,383,2,39.51,Regular,Seca,0.17,0.59,41.04,70.74,77.87,75.8,64.82,ALTA,val
COM-00033,Meta,Castilla la Nueva,Orinoquía,Rural dispersa,351,226,47,18,8,4,26.17,35.12,Regular,Motocicleta,1,0,0,44.47,57.0,1,16,0,176,1,34.98,Baja,Lluvias,0.41,0.18,37.68,28.11,58.36,55.99,39.74,BAJA,train
COM-00034,Tolima,Palocabildo,Andina,Rural,916,356,45,29,16,26,12.63,50.81,Regular,Limitado,1,0,1,75.8,75.68,1,23,0,143,0,13.92,Buena,Transición,0.4,0.42,24.99,32.48,56.47,23.44,41.52,BAJA,train
COM-00035,Atlántico,Sabanalarga,Caribe,Rural dispersa,7,391,57,51,19,30,33.3,45.59,Regular,Terrestre,0,1,0,57.71,77.91,2,44,0,7,3,38.98,Regular,Lluvias,0.31,0.03,38.34,33.77,66.1,36.47,35.79,BAJA,test
