departamento,municipio,zona_geografica,tipo_comunidad,altitud_msnm,poblacion_total,menores_5,adultos_mayores,gestantes,personas_discapacidad,distancia_km,tiempo_acceso_min,acceso_vial,transporte_disponible,agua_potable,alcantarillado,puesto_salud_cercano,cobertura_salud_pct,cobertura_vacunacion_pct,casos_prioritarios_30d,enfermedades_cronicas,alerta_epidemiologica,ultima_brigada_dias,brigadas_ultimos_12m,demanda_insatisfecha_pct,conectividad,temporada,riesgo_inundacion,riesgo_deslizamiento,prioridad
Cauca,Puracé,Andina,Rural dispersa,1394,1646,237,153,25,91,34.12,136.2,Muy difícil,Limitado,0,1,0,73.09,70.33,1,290,0,27,1,36.58,Sin conexión,Lluvias,0.29,0.5,ALTA
Cundinamarca,Chía,Andina,Rural dispersa,2969,210,20,24,2,15,85.7,123.9,Bueno,Terrestre,0,1,0,83.86,72.57,0,14,1,59,1,14.8,Baja,Lluvias,0.32,0.4,ALTA
Atlántico,Repelón,Caribe,Afrodescendiente,70,167,27,28,6,12,24.69,49.66,Regular,Limitado,0,1,0,88.98,39.33,3,12,1,223,0,46.04,Regular,Seca,0.25,0.0,CRÍTICA
Córdoba,Cereté,Caribe,Rural,178,182,16,15,2,13,46.17,68.68,Muy difícil,No disponible,1,0,0,91.46,72.63,1,10,0,158,2,21.77,Baja,Seca,0.53,0.23,ALTA
Casanare,Támara,Orinoquía,Rural dispersa,182,852,98,69,32,50,22.87,33.99,Difícil,Limitado,1,0,0,65.99,50.56,1,129,0,730,1,45.53,Sin conexión,Seca,0.36,0.05,CRÍTICA
Santander,Palmar,Andina,Campesina,1028,192,40,19,5,13,22.82,30.83,Regular,Motocicleta,0,1,0,54.47,71.78,2,31,0,58,3,44.8,Baja,Lluvias,0.31,0.56,ALTA
Cauca,Piamonte,Andina,Rural,1967,892,160,72,20,55,60.66,96.46,Regular,Terrestre,1,1,0,79.95,68.84,4,97,0,230,1,40.12,Baja,Seca,0.26,0.45,CRÍTICA
Antioquia,Caldas,Andina,Rural,1275,162,19,18,4,6,20.08,23.08,Bueno,Terrestre,0,1,0,64.74,54.59,0,25,0,185,1,39.85,Regular,Seca,0.31,0.5,MEDIA
Antioquia,Concepción,Andina,Campesina,2057,538,68,53,7,27,31.27,70.9,Regular,Terrestre,1,0,0,68.58,56.6,2,68,1,9,2,29.98,Baja,Transición,0.3,0.54,MEDIA
Quindío,Calarcá,Andina,Rural dispersa,1474,185,19,13,3,8,77.71,112.6,Bueno,No disponible,0,0,0,59.08,97.66,0,16,0,2,0,26.44,Buena,Seca,0.26,0.39,ALTA
Cundinamarca,Granada,Andina,Campesina,2436,366,74,30,3,27,157.26,238.07,Muy difícil,No disponible,0,0,0,76.01,79.12,1,56,0,280,2,53.49,Regular,Seca,0.21,0.28,CRÍTICA
La Guajira,Hatonuevo,Caribe,Afrodescendiente,110,207,36,27,9,12,23.46,53.56,Regular,Limitado,0,0,0,53.55,51.69,1,35,0,100,2,54.58,Sin conexión,Seca,0.29,0.08,ALTA
Sucre,San Benito Abad,Caribe,Indígena,108,403,60,24,5,21,7.64,9.91,Bueno,No disponible,0,0,1,78.23,74.87,4,63,0,37,2,60.13,Baja,Seca,0.47,0.23,ALTA
Santander,Charta,Andina,Rural dispersa,1444,417,58,69,6,18,70.43,125.22,Bueno,Terrestre,1,0,0,81.23,92.99,1,33,0,37,1,38.36,Sin conexión,Seca,0.32,0.45,ALTA
Córdoba,Purísima,Caribe,Campesina,264,195,41,11,5,3,12.25,24.07,Bueno,Terrestre,1,1,1,69.11,95.92,0,11,1,423,3,12.61,Sin conexión,Lluvias,0.39,0.17,BAJA
Putumayo,Mocoa,Amazonía,Campesina,1443,406,59,42,8,5,46.05,105.22,Muy difícil,No disponible,1,0,0,63.24,38.01,0,70,0,73,1,47.98,Baja,Lluvias,0.31,0.31,ALTA
Norte de Santander,Duranía,Andina,Indígena,1814,246,47,41,8,19,75.68,243.6,Difícil,Limitado,0,0,0,90.29,73.3,1,25,0,329,0,9.74,Buena,Lluvias,0.25,0.7,ALTA
Huila,Garzón,Andina,Rural dispersa,859,578,84,79,9,13,22.46,61.94,Regular,Terrestre,1,1,0,57.79,67.13,1,78,1,289,1,47.77,Baja,Transición,0.3,0.43,ALTA
Bolívar,El Guamo,Caribe,Afrodescendiente,211,183,33,10,2,3,49.79,184.19,Muy difícil,Limitado,1,1,0,80.65,58.43,1,9,0,75,0,46.64,Regular,Lluvias,0.51,0.21,ALTA
Huila,Paicol,Andina,Rural,1080,246,32,32,8,8,16.41,25.1,Regular,Terrestre,1,1,1,67.89,57.04,0,40,1,133,2,21.35,Regular,Seca,0.52,0.52,MEDIA
Meta,San Juan de Arama,Orinoquía,Rural dispersa,549,309,66,44,5,19,98.29,318.92,Regular,No disponible,1,0,0,70.19,50.78,1,21,0,16,0,2.0,Buena,Seca,0.37,0.29,CRÍTICA
Quindío,Armenia,Andina,Rural,1644,225,47,32,2,14,9.48,12.63,Regular,Limitado,1,1,1,71.71,79.12,1,23,0,413,2,11.84,Regular,Lluvias,0.2,0.49,BAJA
Antioquia,Santo Domingo,Andina,Rural dispersa,1844,506,50,77,17,23,36.68,80.12,Regular,Limitado,1,0,0,77.98,77.18,1,28,0,24,2,35.0,Buena,Lluvias,0.18,0.47,MEDIA
Nariño,Magüí Payán,Andina,Afrodescendiente,3087,303,33,31,6,16,40.52,118.22,Regular,Terrestre,0,0,0,89.46,80.09,0,15,1,19,2,23.96,Buena,Transición,0.41,0.61,MEDIA
Caquetá,El Paujil,Amazonía,Rural,352,298,57,15,6,11,65.45,231.83,Difícil,Fluvial + Terrestre,1,0,0,67.88,58.31,0,29,0,101,2,38.91,Baja,Seca,0.6,0.34,ALTA
Vichada,Cumaribo,Orinoquía,Indígena,210,908,117,100,31,33,29.39,81.08,Regular,Fluvial + Terrestre,0,0,0,60.23,25.0,1,78,1,251,2,31.15,Sin conexión,Lluvias,0.54,0.02,CRÍTICA
Boyacá,Santa Rosa de Viterbo,Andina,Rural dispersa,2902,149,13,12,5,10,24.42,63.16,Regular,No disponible,1,1,0,88.91,74.89,0,24,0,75,1,11.23,Regular,Seca,0.21,0.49,BAJA
Córdoba,Buenavista,Caribe,Campesina,187,253,40,45,7,5,33.62,56.83,Difícil,Limitado,1,1,0,62.99,97.81,0,42,0,258,3,36.97,Buena,Lluvias,0.59,0.22,MEDIA
